INGREDIENTE,Kcal c/100gr,Proteína.100,Grasa.100,HC.100,Fibra.100,Azúcar.100,Calcio.100,Hierro.100,Magnesio.100,Fósforo. 100,Potasio.100,Sodio.100,Zinc.100,Cobre.100,Manganeso.100,C.100,Tiamina B1.100,Riboflavina. 100,Niacina B3.100,Ac. pantotenico B5.100,B-6. 100,Folato Gpo B. 100,Colina,B-12. 100,A. 100,E.100,D (D2 + D3),D,K (Polifenoles). 100,G. Saturada. 100,Monoinsaturadas. 100,Poliinsaturada.100,Trans.100,Colesterol.100,Ergoesterol,Cafeína. 100,Lisina,Metionina,Cisteína,Met+Cys,Tirosina,Betacaroteno
Fósforo,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calcio,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesio,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potasio,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagazo de cebada,,30,8,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bagazo de caña,,4.96,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascarilla de arroz,316.23,3.56,,40,39,,0.3639,,140.3,,913,577.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borra de café,,11.71,13.41,,,,170,7.5419,1.4,1.3,3.4,0.4,9.609,0.8879,4.3266,,,,,,,,,,,,,,,,,,,,,584,,,,,,
Pulpa de remolacha azucarera,,16.8,3,40,16,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harina de alfalfa,,18.4,1.39,,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasta de cártamo,119,21,1.4,,30,4.1,340,,,300,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,720,340,,,,
Pasta de girasol,,34.2,1.7,,,4,320,22.1,570,1080,1550,30,9.7,3.4,3.3,,,,,,,,275,,,5.2,,,,,,,,,,,,,,,,
